0 verbose cli /usr/local/bin/node /usr/local/bin/npm
1 info using npm@9.8.1
2 info using node@v19.9.0
3 timing npm:load:whichnode Completed in 82ms
4 timing config:load:defaults Completed in 2ms
5 timing config:load:file:/usr/local/lib/node_modules/npm/npmrc Completed in 1ms
6 timing config:load:builtin Completed in 1ms
7 timing config:load:cli Completed in 4ms
8 timing config:load:env Completed in 0ms
9 timing config:load:project Completed in 9ms
10 timing config:load:file:/home/container/.npmrc Completed in 0ms
11 timing config:load:user Completed in 0ms
12 timing config:load:file:/usr/local/etc/npmrc Completed in 2ms
13 timing config:load:global Completed in 2ms
14 timing config:load:setEnvs Completed in 1ms
15 timing config:load Completed in 20ms
16 timing npm:load:configload Completed in 21ms
17 timing config:load:flatten Completed in 12ms
18 timing npm:load:mkdirpcache Completed in 0ms
19 timing npm:load:mkdirplogs Completed in 0ms
20 verbose title npm install
21 verbose argv "install"
22 timing npm:load:setTitle Completed in 1ms
23 timing npm:load:display Completed in 1ms
24 verbose logfile logs-max:10 dir:/home/container/.npm/_logs/2024-04-02T22_41_36_883Z-
25 verbose logfile /home/container/.npm/_logs/2024-04-02T22_41_36_883Z-debug-0.log
26 timing npm:load:logFile Completed in 51ms
27 timing npm:load:timers Completed in 0ms
28 timing npm:load:configScope Completed in 0ms
29 timing npm:load Completed in 275ms
30 timing arborist:ctor Completed in 1ms
31 silly logfile done cleaning log files
32 timing idealTree:init Completed in 886ms
33 timing idealTree:userRequests Completed in 0ms
34 silly idealTree buildDeps
35 timing idealTree:#root Completed in 5ms
36 timing idealTree:buildDeps Completed in 9ms
37 timing idealTree:fixDepFlags Completed in 0ms
38 timing idealTree Completed in 907ms
39 timing reify:loadTrees Completed in 948ms
40 timing reify:diffTrees Completed in 11ms
41 silly reify moves {}
42 timing reify:retireShallow Completed in 2ms
43 timing reify:createSparse Completed in 108ms
44 timing reify:loadBundles Completed in 0ms
45 silly audit bulk request {
45 silly audit   '@aero/centra': [ '1.0.8' ],
45 silly audit   '@babel/runtime': [ '7.24.1' ],
45 silly audit   '@discordjs/builders': [ '0.16.0' ],
45 silly audit   'discord-api-types': [ '0.36.3', '0.33.5' ],
45 silly audit   '@discordjs/collection': [ '0.1.6', '0.7.0' ],
45 silly audit   '@discordjs/form-data': [ '3.0.1' ],
45 silly audit   '@napi-rs/canvas': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-android-arm64': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-darwin-arm64': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-darwin-x64': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-linux-arm-gnueabihf': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-linux-arm64-gnu': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-linux-arm64-musl': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-linux-x64-gnu': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-linux-x64-musl': [ '0.1.51' ],
45 silly audit   '@napi-rs/canvas-win32-x64-msvc': [ '0.1.51' ],
45 silly audit   '@sapphire/async-queue': [ '1.5.2' ],
45 silly audit   '@sapphire/shapeshift': [ '3.9.7' ],
45 silly audit   '@types/node': [ '20.12.2' ],
45 silly audit   '@types/node-fetch': [ '2.6.11' ],
45 silly audit   '@types/ws': [ '8.5.10' ],
45 silly audit   'abort-controller': [ '3.0.0' ],
45 silly audit   'agent-base': [ '7.1.1' ],
45 silly audit   akaneko: [ '5.3.0' ],
45 silly audit   'aki-api': [ '6.0.9', '5.2.1' ],
45 silly audit   asap: [ '2.0.6' ],
45 silly audit   asynckit: [ '0.4.0' ],
45 silly audit   axios: [ '1.6.8', '0.21.4' ],
45 silly audit   bluebird: [ '3.7.2' ],
45 silly audit   boolbase: [ '1.0.0' ],
45 silly audit   'call-bind': [ '1.0.7' ],
45 silly audit   'capture-stack-trace': [ '1.0.2' ],
45 silly audit   cheerio: [ '1.0.0-rc.12' ],
45 silly audit   'cheerio-select': [ '2.1.0' ],
45 silly audit   'cli-color': [ '2.0.4' ],
45 silly audit   'combined-stream': [ '1.0.8' ],
45 silly audit   'common-tags': [ '1.8.2' ],
45 silly audit   'complex.js': [ '2.1.1' ],
45 silly audit   'component-emitter': [ '1.3.1' ],
45 silly audit   cookiejar: [ '2.1.4' ],
45 silly audit   'cpu-stat': [ '2.0.1' ],
45 silly audit   'create-error-class': [ '3.0.2' ],
45 silly audit   'cross-env': [ '7.0.3' ],
45 silly audit   'cross-fetch': [ '3.1.8' ],
45 silly audit   'node-fetch': [ '2.7.0', '3.3.2' ],
45 silly audit   'cross-spawn': [ '7.0.3' ],
45 silly audit   'css-select': [ '5.1.0' ],
45 silly audit   'css-what': [ '6.1.0' ],
45 silly audit   csvtojson: [ '2.0.10' ],
45 silly audit   d: [ '1.0.2' ],
45 silly audit   'data-uri-to-buffer': [ '4.0.1' ],
45 silly audit   dateformat: [ '5.0.3' ],
45 silly audit   debug: [ '4.3.4' ],
45 silly audit   ms: [ '2.1.2', '2.1.3' ],
45 silly audit   'decimal.js': [ '10.4.3' ],
45 silly audit   deepmerge: [ '4.3.1' ],
45 silly audit   'define-data-property': [ '1.1.4' ],
45 silly audit   'delayed-stream': [ '1.0.0' ],
45 silly audit   dezalgo: [ '1.0.4' ],
45 silly audit   'discord-buttons': [ '4.0.0' ],
45 silly audit   'discord-giveaways': [ '4.5.1' ],
45 silly audit   'discord-player': [ '4.1.4' ],
45 silly audit   'discord-ytdl-core': [ '5.0.4' ],
45 silly audit   'discord.js': [ '12.5.3', '13.17.1' ],
45 silly audit   'dom-serializer': [ '2.0.0' ],
45 silly audit   entities: [ '4.5.0', '2.2.0' ],
45 silly audit   domelementtype: [ '2.3.0' ],
45 silly audit   domhandler: [ '5.0.3' ],
45 silly audit   domutils: [ '3.1.0' ],
45 silly audit   dotenv: [ '16.4.5' ],
45 silly audit   duplexer3: [ '0.1.5' ],
45 silly audit   'easy-games-js': [ '1.2.1' ],
45 silly audit   'es-define-property': [ '1.0.0' ],
45 silly audit   'es-errors': [ '1.3.0' ],
45 silly audit   'es5-ext': [ '0.10.64' ],
45 silly audit   'es6-iterator': [ '2.0.3' ],
45 silly audit   'es6-symbol': [ '3.1.4' ],
45 silly audit   'es6-weak-map': [ '2.0.3' ],
45 silly audit   'escape-latex': [ '1.2.0' ],
45 silly audit   esniff: [ '2.0.1' ],
45 silly audit   'event-emitter': [ '0.3.5' ],
45 silly audit   'event-target-shim': [ '5.0.1' ],
45 silly audit   eventemitter3: [ '1.2.0' ],
45 silly audit   ext: [ '1.7.0' ],
45 silly audit   'fast-deep-equal': [ '3.1.3' ],
45 silly audit   'fast-safe-stringify': [ '2.1.1' ],
45 silly audit   'fetch-blob': [ '3.2.0' ],
45 silly audit   'follow-redirects': [ '1.15.6' ],
45 silly audit   'form-data': [ '4.0.0' ],
45 silly audit   'formdata-polyfill': [ '4.0.10' ],
45 silly audit   formidable: [ '2.1.2' ],
45 silly audit   'fraction.js': [ '4.3.4' ],
45 silly audit   'function-bind': [ '1.1.2' ],
45 silly audit   'get-intrinsic': [ '1.2.4' ],
45 silly audit   'get-stream': [ '3.0.0' ],
45 silly audit   gopd: [ '1.0.1' ],
45 silly audit   got: [ '6.7.1' ],
45 silly audit   'has-property-descriptors': [ '1.0.2' ],
45 silly audit   'has-proto': [ '1.0.3' ],
45 silly audit   'has-symbols': [ '1.0.3' ],
45 silly audit   hasown: [ '2.0.2' ],
45 silly audit   hexoid: [ '1.0.0' ],
45 silly audit   himalaya: [ '1.1.0' ],
45 silly audit   htmlparser2: [ '8.0.2' ],
45 silly audit   'https-proxy-agent': [ '6.2.1' ],
45 silly audit   imurmurhash: [ '0.1.4' ],
45 silly audit   'is-promise': [ '2.2.2' ],
45 silly audit   'is-redirect': [ '1.0.0' ],
45 silly audit   'is-retry-allowed': [ '1.2.0' ],
45 silly audit   'is-stream': [ '1.1.0' ],
45 silly audit   'is-utf8': [ '0.2.1' ],
45 silly audit   isexe: [ '2.0.0' ],
45 silly audit   'javascript-natural-sort': [ '0.7.1' ],
45 silly audit   lodash: [ '4.17.21' ],
45 silly audit   'lowercase-keys': [ '1.0.1' ],
45 silly audit   'lru-cache': [ '6.0.0' ],
45 silly audit   'lru-queue': [ '0.1.0' ],
45 silly audit   m3u8stream: [ '0.8.6' ],
45 silly audit   mathjs: [ '12.4.1' ],
45 silly audit   memoizee: [ '0.4.15' ],
45 silly audit   methods: [ '1.1.2' ],
45 silly audit   mime: [ '2.6.0' ],
45 silly audit   'mime-db': [ '1.52.0' ],
45 silly audit   'mime-types': [ '2.1.35' ],
45 silly audit   miniget: [ '4.2.3' ],
45 silly audit   moment: [ '2.30.1' ],
45 silly audit   'nekos.life': [ '3.0.0' ],
45 silly audit   'next-tick': [ '1.1.0' ],
45 silly audit   node_extra_ca_certs_mozilla_bundle: [ '1.0.6' ],
45 silly audit   'node-domexception': [ '1.0.0' ],
45 silly audit   novelcovid: [ '3.0.2' ],
45 silly audit   'nth-check': [ '2.1.1' ],
45 silly audit   'object-inspect': [ '1.13.1' ],
45 silly audit   once: [ '1.4.0' ],
45 silly audit   parse5: [ '7.1.2' ],
45 silly audit   'parse5-htmlparser2-tree-adapter': [ '7.0.0' ],
45 silly audit   'path-key': [ '3.1.1' ],
45 silly audit   'prepend-http': [ '1.0.4' ],
45 silly audit   'prism-media': [ '1.3.5' ],
45 silly audit   'proxy-from-env': [ '1.1.0' ],
45 silly audit   qs: [ '6.12.0' ],
45 silly audit   'quick.db': [ '9.1.7' ],
45 silly audit   'random-puppy': [ '1.1.0' ],
45 silly audit   randombytes: [ '2.1.0' ],
45 silly audit   'regenerator-runtime': [ '0.14.1' ],
45 silly audit   'rss-parser': [ '3.13.0' ],
45 silly audit   'safe-buffer': [ '5.2.1' ],
45 silly audit   sax: [ '1.3.0' ],
45 silly audit   seedrandom: [ '3.0.5' ],
45 silly audit   semver: [ '7.6.0' ],
45 silly audit   'serialize-javascript': [ '5.0.1' ],
45 silly audit   'set-function-length': [ '1.2.2' ],
45 silly audit   setimmediate: [ '1.0.5' ],
45 silly audit   'shebang-command': [ '2.0.0' ],
45 silly audit   'shebang-regex': [ '3.0.0' ],
45 silly audit   'side-channel': [ '1.0.6' ],
45 silly audit   'signal-exit': [ '4.1.0' ],
45 silly audit   snakecord: [ '1.0.9' ],
45 silly audit   ws: [ '8.16.0', '7.5.9' ],
45 silly audit   'soundcloud-scraper': [ '5.0.3' ],
45 silly audit   'spotify-uri': [ '2.2.2' ],
45 silly audit   'spotify-url-info': [ '2.2.9' ],
45 silly audit   'strip-bom': [ '2.0.0' ],
45 silly audit   superagent: [ '8.1.2' ],
45 silly audit   'timed-out': [ '4.0.1' ],
45 silly audit   'timers-ext': [ '0.1.7' ],
45 silly audit   'tiny-emitter': [ '2.1.0' ],
45 silly audit   tr46: [ '0.0.3' ],
45 silly audit   'ts-mixer': [ '6.0.4' ],
45 silly audit   tslib: [ '2.6.2' ],
45 silly audit   tweetnacl: [ '1.0.3' ],
45 silly audit   type: [ '2.7.2' ],
45 silly audit   'typed-function': [ '4.1.1' ],
45 silly audit   'undici-types': [ '5.26.5' ],
45 silly audit   'unique-random': [ '1.0.0' ],
45 silly audit   'unique-random-array': [ '1.0.1' ],
45 silly audit   'unzip-response': [ '2.0.1' ],
45 silly audit   'url-parse-lax': [ '1.0.0' ],
45 silly audit   'web-streams-polyfill': [ '3.3.3' ],
45 silly audit   'webidl-conversions': [ '3.0.1' ],
45 silly audit   'whatwg-url': [ '5.0.0' ],
45 silly audit   which: [ '2.0.2' ],
45 silly audit   wrappy: [ '1.0.2' ],
45 silly audit   'write-file-atomic': [ '5.0.1' ],
45 silly audit   xml2js: [ '0.5.0' ],
45 silly audit   xmlbuilder: [ '11.0.1' ],
45 silly audit   yallist: [ '4.0.0' ],
45 silly audit   'youtube-sr': [ '4.3.10' ],
45 silly audit   'ytdl-core': [ '4.11.5' ]
45 silly audit }
46 verbose reify failed optional dependency /home/container/node_modules/@napi-rs/canvas-win32-x64-msvc
47 silly reify mark deleted [ '/home/container/node_modules/@napi-rs/canvas-win32-x64-msvc' ]
48 verbose reify failed optional dependency /home/container/node_modules/@napi-rs/canvas-linux-arm64-musl
49 silly reify mark deleted [ '/home/container/node_modules/@napi-rs/canvas-linux-arm64-musl' ]
50 verbose reify failed optional dependency /home/container/node_modules/@napi-rs/canvas-linux-arm64-gnu
51 silly reify mark deleted [ '/home/container/node_modules/@napi-rs/canvas-linux-arm64-gnu' ]
52 verbose reify failed optional dependency /home/container/node_modules/@napi-rs/canvas-linux-arm-gnueabihf
53 silly reify mark deleted [ '/home/container/node_modules/@napi-rs/canvas-linux-arm-gnueabihf' ]
54 verbose reify failed optional dependency /home/container/node_modules/@napi-rs/canvas-darwin-x64
55 silly reify mark deleted [ '/home/container/node_modules/@napi-rs/canvas-darwin-x64' ]
56 verbose reify failed optional dependency /home/container/node_modules/@napi-rs/canvas-darwin-arm64
